nome_empresa;ra;vfn;is;nota;mis;mivfn;mnm;mrutd;mrudm;peutd;mrecudm;ercmr;mrd;mrs;mrecutd
Oi Móvel, Fixo, TV;0,3%;20,0%;33,9%;1,68;0;0;0;0;0;9;13;0;0;0;16
Samsung Electronics;99,9%;27,2%;34,8%;2,54;0;0;0;0;0;10;10;0;0;16;17
Total Express - TEX Courier;87,5%;43,7%;76,7%;4,38;0;0;0;0;0;12;0;0;15;20;0
Caixa Econômica Federal;0;22,3%;30,9%;1,63;0;0;0;0;0;13;0;0;0;0;0
LojasKD Móveis;89,5%;40,0%;77,1%;4,44;0;0;0;0;0;14;0;0;0;0;0
Nextel Telecomunicações;7,7%;23,4%;36,3%;2,03;0;0;0;0;0;15;0;0;0;0;0
LATAM Airlines - TAM;96,7%;43,0%;46,0%;3,16;0;0;0;0;0;16;0;0;0;0;0
Brastemp - Consul;94,4%;56,9%;73,1%;5,22;0;0;0;0;0;17;0;0;0;0;0
MercadoPago.com Representações;0;32,0%;43,0%;2,32;0;0;0;0;0;18;0;0;0;0;0
Oi Internet;7,7%;23,8%;37,2%;2,12;0;0;0;0;0;19;0;0;0;0;0
Claro TV;72,2%;51,8%;77,9%;5,5;0;0;0;0;0;20;0;0;0;0;0
Dealboom;99,8%;54,8%;61,3%;5,58;0;0;0;0;0;0;0;1;0;0;0
portal vendas net;32,6%;0;0;0,24;0;0;0;0;0;0;0;2;0;0;0
Oulala Deals;90,7%;50,0%;60,0%;4,9;0;0;0;0;0;0;0;3;0;0;0
Makro Varejista;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
Maximus Digital - BH;84,8%;36,7%;60,0%;3,4;0;0;0;0;0;0;0;5;0;0;0
Jumbo Magazine;21,1%;0;0;0;0;0;0;0;0;0;0;6;0;0;0
Upstore;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0
Bertioga store;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0
SuperDigital;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0
Loja Mega Box - SP;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0
RH Auto;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0
Up Store - Upstylest;10,4%;0;0;0;0;0;0;0;0;0;0;12;0;0;0
Loja Super Car;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0
Minds Modas;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0
Mania de Comprar Barato;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0
JBShop;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0
Grupo Kucera - Advocacia Empresarial;44,7%;0;0;0;0;0;0;0;0;0;0;17;0;0;0
Usado Favorito - Office Gyn;93,9%;76,9%;100%;7,69;0;0;0;0;0;0;0;18;0;0;0
Casa King;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0
Tuffer Materiais para Construção;7,1%;0;0;0;0;0;0;0;0;0;0;20;0;0;0
